iter	Passed	Remaining
0	61	12153
1	62	6159
2	63	4159
3	64	3167
4	65	2563
5	66	2159
6	68	1877
7	69	1660
8	70	1490
9	71	1356
10	72	1245
11	73	1151
12	74	1072
13	75	1003
14	76	944
15	77	892
16	78	846
17	79	804
18	80	766
19	81	733
20	82	702
21	83	674
22	84	649
23	85	625
24	86	603
25	87	583
26	88	564
27	89	547
28	90	530
29	91	515
30	92	502
31	93	488
32	94	475
33	94	463
34	95	452
35	96	441
36	97	431
37	98	421
38	99	412
39	100	403
40	101	394
41	102	386
42	103	378
43	104	371
44	105	364
45	106	357
46	107	350
47	108	343
48	109	337
49	110	331
50	111	325
51	112	320
52	113	315
53	114	309
54	115	304
55	116	298
56	117	294
57	118	289
58	119	284
59	120	280
60	120	275
61	121	270
62	122	266
63	123	262
64	124	258
65	125	254
66	125	250
67	127	246
68	127	242
69	128	239
70	129	235
71	130	232
72	131	228
73	132	225
74	133	222
75	134	218
76	134	215
77	135	212
78	136	209
79	137	206
80	138	203
81	139	200
82	140	198
83	141	195
84	143	193
85	144	191
86	145	188
87	145	185
88	146	182
89	147	180
90	148	177
91	149	174
92	149	172
93	150	169
94	151	167
95	152	165
96	153	162
97	154	160
98	154	158
99	155	155
100	156	153
101	157	151
102	158	149
103	159	146
104	159	144
105	160	142
106	161	140
107	162	138
108	163	136
109	163	134
110	164	132
111	165	130
112	166	128
113	167	126
114	167	124
115	168	122
116	169	120
117	170	118
118	171	116
119	172	114
120	173	113
121	174	111
122	174	109
123	175	107
124	176	105
125	177	104
126	178	102
127	178	100
128	179	98
129	180	97
130	181	95
131	182	93
132	182	92
133	183	90
134	184	88
135	185	87
136	186	85
137	187	84
138	187	82
139	188	80
140	189	79
141	190	77
142	191	76
143	192	74
144	192	73
145	193	71
146	194	70
147	195	68
148	196	67
149	196	65
150	197	64
151	198	62
152	199	61
153	200	59
154	200	58
155	201	56
156	202	55
157	203	54
158	204	52
159	205	51
160	206	49
161	207	48
162	207	47
163	208	45
164	209	44
165	210	43
166	211	41
167	211	40
168	212	39
169	213	37
170	214	36
171	215	35
172	215	33
173	216	32
174	217	31
175	218	29
176	219	28
177	220	27
178	220	25
179	221	24
180	222	23
181	223	22
182	224	20
183	224	19
184	225	18
185	226	17
186	227	15
187	228	14
188	228	13
189	229	12
190	230	10
191	231	9
192	232	8
193	233	7
194	234	6
195	234	4
196	235	3
197	236	2
198	238	1
199	239	0
